language,script,country,hyperlink
Bhogoto,,Central African Republic,https://mylanguage.net.au/watch_online/Bho99/JESUS/
Bhojpuri,,India,https://mylanguage.net.au/watch_online/bhj00/JESUS/1_5667-jf6112-0-0
Bicolano,,Philippines,https://mylanguage.net.au/watch_online/bhk00/JESUS/1_22100-jf6112-0-0
Bijago,,Guinea-Bissau,https://mylanguage.net.au/watch_online/bjg00/JESUS/1_21963-jf6112-0-0
Bima,,Indonesia,https://mylanguage.net.au/watch_online/bhp00/JESUS/1_19537-jf6112-0-0
Bimoba,,Ghana,https://mylanguage.net.au/watch_online/bim00/JESUS/1_5174-jf6112-0-0
Birifor,,Burkina Faso,https://mylanguage.net.au/watch_online/biv00/JESUS/1_5173-jf6112-0-0
Bislama,,Vanuatu,https://mylanguage.net.au/watch_online/bcy00/JESUS/1_9181-jf6112-0-0
Bissa,,Burkina Faso,https://mylanguage.net.au/watch_online/bib00/JESUS/1_2125-jf6112-0-0
Bissa,,Ghana,https://mylanguage.net.au/watch_online/bib00/JESUS/1_2125-jf6112-0-0
"Blaan, Koronadal",,Philippines,https://mylanguage.net.au/watch_online/bik00/JESUS/1_12816-jf6112-0-0
"Blaan, Sarangani",,Philippines,https://mylanguage.net.au/watch_online/Bla99/JESUS/1_12815-jf6112-0-0
Blackfoot,,Canada,https://mylanguage.net.au/watch_online/blc00/JESUS/1_3105-jf6112-0-0
Bodo,,India,https://mylanguage.net.au/watch_online/brx00/JESUS/1_19594-jf6112-0-0
Bola,,Papua New Guinea,https://mylanguage.net.au/watch_online/Bol99/JESUS/1_10813-jf6112-0-0
Bomu,,Mali,https://mylanguage.net.au/watch_online/bmq00/JESUS/1_2081-jf6112-0-0
Bororo,,Brazil,https://mylanguage.net.au/watch_online/bor00/JESUS/1_1873-jf6112-0-0
Bosnian,,Bosnia-Herzegovina,https://mylanguage.net.au/watch_online/bwf00/JESUS/1_20581-jf6112-0-0
Bouyei,,China,https://mylanguage.net.au/watch_online/pcc00/JESUS/1_3960-jf6112-0-0
Brahui,,Pakistan,https://mylanguage.net.au/watch_online/brh00/JESUS/1_351-jf6112-0-0
Braj Bhasha,,India,https://mylanguage.net.au/watch_online/bfs00/JESUS/1_5611-jf6112-0-0
"Bru, Eastern",,Laos,https://mylanguage.net.au/watch_online/Bru99/JESUS/1_7371-jf6112-0-0
"Budu, Koya",,DRCongo,https://mylanguage.net.au/watch_online/buu*1/JESUS/1_24091-jf6112-0-0
"Budu, Nita",,DRCongo,https://mylanguage.net.au/watch_online/buu*1/JESUS/1_24091-jf6112-0-0
Bugis,,Indonesia,https://mylanguage.net.au/watch_online/bpr00/JESUS/1_17645-jf6112-0-0
Buglere,,Panama,https://mylanguage.net.au/watch_online/Bug99/JESUS/
Bukusu,,Kenya,https://mylanguage.net.au/watch_online/bul00/JESUS/1_19606-jf6112-0-0
Bulgarian,,Bulgaria,https://mylanguage.net.au/watch_online/blg00/JESUS/1_1964-jf6112-0-0
Buli,,Ghana,https://mylanguage.net.au/watch_online/bwu00/JESUS/1_19610-jf6112-0-0
Bulu,,Cameroon,https://mylanguage.net.au/watch_online/bum00/JESUS/1_2884-jf6112-0-0
Bundel Khandi,,India,https://mylanguage.net.au/watch_online/bns00/JESUS/1_20587-jf6112-0-0
Bura-Pabir,,Nigeria,https://mylanguage.net.au/watch_online/bur00/JESUS/1_10343-jf6112-0-0
"Buriat, Russia",,Russia,https://mylanguage.net.au/watch_online/mnb00/JESUS/1_18321-jf6112-0-0
Burmese,,Myanmar,https://mylanguage.net.au/watch_online/bms00/JESUS/1_1254-jf6112-0-0
Buurak,,Nigeria,https://mylanguage.net.au/watch_online/Buu99/JESUS/1_49141-jf6112-0-0
Bwazza,,Nigeria,https://mylanguage.net.au/watch_online/Bwa99/JESUS/1_9491-jf6112-0-0
Cakchiquel,,Guatemala,https://mylanguage.net.au/watch_online/cak00/JESUS/1_5439-jf6112-0-0
"Cakchiquel, Eastern",,Guatemala,https://mylanguage.net.au/watch_online/cak00/JESUS/1_5439-jf6112-0-0
Cantonese,,China,https://nextstep.is/L1lRro64
Cantonese,廣東話,Hong Kong,https://nextstep.is/L1lRro64
Catalan - Valencian - Balear,,Spain,https://mylanguage.net.au/watch_online/cln00/JESUS/1_531-jf6112-0-0
Cebuano,,Philippines,https://mylanguage.net.au/watch_online/ceb00/JESUS/1_12784-jf6112-0-0
Central Asian Russian,Русский для Bостока,Kazakhstan,https://mylanguage.net.au/watch_online/rus*1/JESUS/1_20899-jf6112-0-0
Chachi,,Ecuador,https://mylanguage.net.au/watch_online/cbi00/JESUS/1_4501-jf6112-0-0
Chakma,,Bangladesh,https://mylanguage.net.au/watch_online/ccp00/JESUS/1_1253-jf6112-0-0
Chaldean Neo-Aramaic,,Iraq,https://mylanguage.net.au/watch_online/cld00/JESUS/1_20592-jf6112-0-0
"Cham, Eastern",Chăm,Vietnam,https://mylanguage.net.au/watch_online/cjm00/JESUS/1_19372-jf-0-0
"Cham, Western",چم,Cambodia,https://mylanguage.net.au/watch_online/cjm00/JESUS/1_2145-jf6112-0-0
Chamba Daka,,Nigeria,https://mylanguage.net.au/watch_online/ccg00/JESUS/1_23042-jf6112-0-0
Chambeali,,India,https://mylanguage.net.au/watch_online/cdh00/JESUS/1_5652-jf6112-0-0
Chamling,,Nepal,https://mylanguage.net.au/watch_online/Cha99/JESUS/1_50165-jf6112-0-0
Chamorro,,Guam,https://mylanguage.net.au/watch_online/cjd00/JESUS/1_5379-jf6112-0-0
Chasu-Pare,,Tanzania,https://mylanguage.net.au/watch_online/asa00/JESUS/1_24223-jf6112-0-0
Chatgaya Chittagonian Common,,Bangladesh,https://www.jesusfilm.org/watch/jesus.html/chatgaya-chittagonian-common.html
Chatgaya Chittagonian Muslim,,Bangladesh,https://www.jesusfilm.org/watch/jesus.html/chatgaya-chittagonian-muslim.html
"Chatino, Nopala",,Mexico,https://mylanguage.net.au/watch_online/cya00/JESUS/1_8282-jf6112-0-0
Chavacano,,Philippines,https://mylanguage.net.au/watch_online/cbk00/JESUS/1_12791-jf6112-0-0
Chechen,,Russia,https://mylanguage.net.au/watch_online/cjc00/JESUS/1_7139-jf6112-0-0
Chhattisgarhi,,India,https://mylanguage.net.au/watch_online/hne00/JESUS/1_6463-jf6112-0-0
Chichewa,,Malawi,https://mylanguage.net.au/watch_online/nyj00/JESUS/1_20857-jf6112-0-0
Chilcotin,,Canada,https://mylanguage.net.au/watch_online/chi00/JESUS/1_3099-jf6112-0-0
"Chin, Asho",,Myanmar,https://mylanguage.net.au/watch_online/csh00/JESUS/1_1181-jf6112-0-0
"Chin, Falam",,Myanmar,https://mylanguage.net.au/watch_online/csh00/JESUS/1_1192-jf6112-0-0
"Chin, Khumi",,Myanmar,https://www.jesusfilm.org/watch/jesus.html/chin-khumi.html
"Chin, Mun",,Myanmar,https://mylanguage.net.au/watch_online/csh00/JESUS/1_8746-jf6112-0-0
"Chin, Paite",,India,https://www.jesusfilm.org/watch/jesus.html/chin-paite.html
"Chinanteco, Quiotepec",,Mexico,https://mylanguage.net.au/watch_online/chq00/JESUS/1_8343-jf6112-0-0
"Chinanteco, Tepetotutla",,Mexico,https://mylanguage.net.au/watch_online/chq00/JESUS/1_7922-jf6112-0-0
"Chinanteco, Tlacoatzintepec",,Mexico,https://mylanguage.net.au/watch_online/Chi98/JESUS/1_7926-jf6112-0-0
"Chinese, Chaozhou",,China,https://mylanguage.net.au/watch_online/chn06/JESUS/1_23075-jf6112-0-0
"Chinese, Guiliu",,China,https://mylanguage.net.au/watch_online/chn%2A9/JESUS/1_53352-jf6112-0-0
"Chinese, Hainan",,China,https://mylanguage.net.au/watch_online/chn06/JESUS/1_13192-jf6112-0-0
"Chinese, Hakka",,China,https://mylanguage.net.au/watch_online/chn06/JESUS/1_20611-jf6112-0-0
"Chinese, Hokkien Amoy",,"Taiwan, R.O.C.",https://mylanguage.net.au/watch_online/chn06/JESUS/1_21670-jf6112-0-0
